theorem	axioms
Effect4.Machine.Handle.memoMap.inj	[]
Effect4.Machine.Handle.memoMap.injEq	[propext]
Effect4.Machine.Handle.memoMap.sizeOf_spec	[]
Effect4.Machine.Handle.ofCode_cell	[]
Effect4.Machine.Handle.ofCode_code	[]
Effect4.Machine.Handle.ofCode_fiber	[]
Effect4.Machine.Handle.ofCode_memoMap	[]
Effect4.Machine.Handle.ofCode_promise	[]
Effect4.Machine.Handle.ofCode_scope	[]
Effect4.Machine.Handle.promise.inj	[]
Effect4.Machine.Handle.promise.injEq	[propext]
Effect4.Machine.Handle.promise.sizeOf_spec	[]
Effect4.Machine.Handle.scope.inj	[]
Effect4.Machine.Handle.scope.injEq	[propext]
Effect4.Machine.Handle.scope.sizeOf_spec	[]
Effect4.Machine.Iter.mk.inj	[]
Effect4.Machine.Iter.mk.injEq	[propext]
Effect4.Machine.Iter.mk.sizeOf_spec	[]
Effect4.Machine.KeyBounded.abortName	[propext]
Effect4.Machine.KeyBounded.ambientScope	[propext]
Effect4.Machine.KeyBounded.answerCode	[propext]
Effect4.Machine.KeyBounded.cancelName	[propext]
Effect4.Machine.KeyBounded.cancelThenFail	[propext]
Effect4.Machine.KeyBounded.clockStep	[propext]
Effect4.Machine.KeyBounded.closeDoneName	[propext]
Effect4.Machine.KeyBounded.closeScope	[propext]
Effect4.Machine.KeyBounded.contA	[propext]
Effect4.Machine.KeyBounded.contE	[propext]
Effect4.Machine.KeyBounded.contextValue	[propext]
Effect4.Machine.KeyBounded.dropFinalizer	[propext]
Effect4.Machine.KeyBounded.dueResumes	[propext]
Effect4.Machine.KeyBounded.emptyContext	[propext]
Effect4.Machine.KeyBounded.exitValue	[propext]
